slug,brand,name,category,label,declaredType,detectedType,url,formatValid,duplicateCount,status,httpStatus,finalUrl,redirectCount,expectedDomain,domainMatch,checkedAt,note
marc-jacobs-1,Marc Jacobs,デイジー,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00quion.k90d6868.g00quion.k90d7b95/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fosharecafe%2F5000547_1%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fosharecafe%2Fi%2F10037514%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/osharecafe/5000547_1/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T12:38:06.953Z,
jo-malone-3,Jo Malone,ピオニー & ブラッシュ スエード,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00sw7hn.k90d6e3d.g00sw7hn.k90d72dc/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fjomalone%2F27028l3ae01%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fjomalone%2Fi%2F10000040%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/jomalone/27028l3ae01/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T12:38:17.926Z,
versace-1,Versace,エロス EDT,purchase,official,product,,https://www.versace.com/us/en/men/accessories/fragrances-body-care/eros/eros-edt-100-ml-blue/R740010-R100MLS_RTU_TU_RNUL__.html,true,2,blocked,403,https://www.versace.com/us/en/men/accessories/fragrances-body-care/eros/eros-edt-100-ml-blue/R740010-R100MLS_RTU_TU_RNUL__.html,0,www.versace.com,true,2026-07-18T12:38:18.471Z,duplicate_url_across_fields
versace-1,Versace,エロス EDT,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2Fver1191%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10037076%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/kousuimonogatari/ver1191/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T12:38:29.326Z,
versace-1,Versace,エロス EDT,source,1:official,,,https://www.versace.com/us/en/men/accessories/fragrances-body-care/eros/eros-edt-100-ml-blue/R740010-R100MLS_RTU_TU_RNUL__.html,true,2,blocked,403,https://www.versace.com/us/en/men/accessories/fragrances-body-care/eros/eros-edt-100-ml-blue/R740010-R100MLS_RTU_TU_RNUL__.html,0,www.versace.com,true,2026-07-18T12:38:29.836Z,duplicate_url_across_fields
versace-2,Versace,ディラン ブルー,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2Fver1321-sale%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10048333%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/kousuimonogatari/ver1321-sale/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T12:38:40.705Z,
azzaro-2,Azzaro,クローム,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00rf2sn.k90d6927.g00rf2sn.k90d73ba/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fbesba%2Fazo-057%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fbesba%2Fi%2F10024728%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/besba/azo-057/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T12:38:51.640Z,
tom-ford-1,Tom Ford,トバコ バニラ,purchase,official,product,,https://www.tomfordbeauty.com/products/tobacco-vanille-eau-de-parfum,true,2,ok,200,https://www.tomfordbeauty.com/products/tobacco-vanille-eau-de-parfum,0,www.tomfordbeauty.com,true,2026-07-18T12:38:52.303Z,duplicate_url_across_fields
tom-ford-1,Tom Ford,トバコ バニラ,source,1:official,,,https://www.tomfordbeauty.com/products/tobacco-vanille-eau-de-parfum,true,2,ok,200,https://www.tomfordbeauty.com/products/tobacco-vanille-eau-de-parfum,0,www.tomfordbeauty.com,true,2026-07-18T12:38:52.947Z,duplicate_url_across_fields
mugler-1,Mugler,エンジェル,purchase,official,product,,https://www.mugler.com/fragrance/angel-eau-de-parfum-perfume/3439600056655.html,true,2,blocked,403,https://www.mugler.com/fragrance/angel-eau-de-parfum-perfume/3439600056655.html,0,www.mugler.com,true,2026-07-18T12:38:53.474Z,duplicate_url_across_fields
