"slug","brand","product_name","score","priority","existing_english","selected_phase2","index_ready","official_source","official_link","concentration","sizes","notes_complete","release_year","family","scenes","seasons","editorial_guidance","verified_at","japan_purchasable","safe_link","rakuten_link","moshimo_link","official_price","rakuten_price","missing_required"
"bvlgari-1","Bvlgari","マン イン ブラック","17","P3","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","safeLink"
"maison-francis-kurkdjian-1","Maison Francis Kurkdjian","バカラ ルージュ 540","17","P3","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","safeLink"
"creed-2","Creed","グリーン アイリッシュ ツイード","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"creed-3","Creed","シルバー マウンテン ウォーター","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"creed-4","Creed","ヴァージン アイランド ウォーター","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"creed-5","Creed","アバントゥス コロン","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"creed-6","Creed","ミレジム インペリアル","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"creed-7","Creed","ボワ ドゥ ポルトガル","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"diptyque-2","Diptyque","オルフェオン","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
"diptyque-3","Diptyque","フィロシコス","18","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink"
